清彦,"Actors.json,1,name"
"来到了一个传说中有宝藏的岛屿的年轻人。
为了偿还债务，他努力着。","Actors.json,1,profile"
米娜,"Actors.json,2,name"
"通过交换魔法，清彦变成了猫娘。
『她』会一辈子都是这样吗……？（废案）","Actors.json,2,profile"
清彦,"Actors.json,3,name"
"被吸血鬼咬伤，变成了她妹妹的清彦。
对于被渐渐改变的自己，还能保持住『男性』吗？","Actors.json,3,profile"
清彦,"Actors.json,4,name"
"被帮助的精灵夺取了身体的清彦。
如果不能再夺回来，就会一辈子这样了。","Actors.json,4,profile"
清彦,"Actors.json,5,name"
"成为了『清彦』的奴隶。
虽然下定决心总有一天会回来，但……？","Actors.json,5,profile"
清彦,"Actors.json,6,name"
"成为了『清彦』的奴隶。
虽然下定决心总有一天会回来，但……？","Actors.json,6,profile"
清彦,"Actors.json,8,name"
"被阿鲁瓦内的攻击击中头部。
对自己发生了什么，还不能理解。","Actors.json,8,profile"
清彦,"Actors.json,9,name"
"不仅变成了女性，身体颜色也瞬间改变。
对发生了什么还感到困惑。","Actors.json,9,profile"
清彦,"Actors.json,10,name"
"球茎生长，包裹住了她的下半身。
对迅速变化的身体感到困惑。","Actors.json,10,profile"
阿鲁瓦内,"Actors.json,11,name"
"完全变成了阿鲁瓦内的清彦。
对成为阿鲁瓦内感到幸福。","Actors.json,11,profile"
清彦,"Actors.json,13,name"
"因神秘宝藏的力量，清彦变成了哈比。
白色的哈比与黑色的哈比交配，并生下了孩子。","Actors.json,13,profile"
清彦,"Actors.json,14,name"
"与黑色哈比交配并怀孕的清彦。
是否能忍受逐渐弥漫的『母性』？","Actors.json,14,profile"
白哈比,"Actors.json,15,name"
"想要生孩子，养育。
一个内心变得如此的母亲应该采取什么行动。","Actors.json,15,profile"
绿色男子,"Actors.json,18,name"
"寻找『传说中的蔬菜种子』的年轻人。
是个体贴的好男人。","Actors.json,18,profile"
男冒险家,"Actors.json,19,name"
"听说这个岛上有宝藏的冒险家。
似乎能力不如清彦。","Actors.json,19,profile"
清彦,"Actors.json,21,name"
"惊讶于能在水下呼吸……。
但现在必须寻找离开这里的方法。","Actors.json,21,profile"
清彦,"Actors.json,22,name"
"突然，身体变得更像女性。
衣服松松垮垮的，很难动。","Actors.json,22,profile"
清彦,"Actors.json,23,name"
"完全变成了女性。
装备大小不合适，根本就只是累赘。","Actors.json,23,profile"
清彦,"Actors.json,24,name"
"沉重的铠甲脱掉后，变得更容易活动了，
但如今已无法隐藏兴奋之情。","Actors.json,24,profile"
清彦,"Actors.json,25,name"
"耳朵变成了鳍，左臂也变色，
下半身还长出了鳞片。『她』为自己的命运而流泪。","Actors.json,25,profile"
清彦,"Actors.json,26,name"
"变成了传说中的魔物娘『人鱼』的清彦。
据说她的歌声能够吸引听者……？","Actors.json,26,profile"
清彦,"Actors.json,27,name"
"变成了穿着连衣裙的可爱少女。
非常合身，激发了保护欲。","Actors.json,27,profile"
清彦,"Actors.json,28,name"
"身体变得与之不相称，拥有丰满的胸部的少女。
她从连衣裙中凸显出的那一部分格外引人注目。","Actors.json,28,profile"
男,"Actors.json,30,name"
清彦,"Actors.json,32,name"
猫娘,"Actors.json,32,nickname"
"通过合成魔法，清彦与猫合体。
是否能够抵抗迫在眉睫的本能呢？","Actors.json,32,profile"
清彦,"Actors.json,33,name"
猫娘,"Actors.json,33,nickname"
"喜欢晒太阳和吃饭。
是个充满活力的魔物娘。相当容易厌倦。","Actors.json,33,profile"
咪咪喵,"Actors.json,34,name"
太可爱了吧？,"Actors.json,34,profile"
店长,"Actors.json,35,name"
不觉得披着坏人外衣最终成为伙伴的情节很有趣吗？,"Actors.json,35,profile"
清彦,"Actors.json,37,name"
"应大妖狐的请求，清彦身着皮衣。
逐渐在『她』的身体上发生了一些变化……？","Actors.json,37,profile"
清彦,"Actors.json,38,name"
"应大妖狐的请求，清彦穿上皮衣。
感觉比一开始更加舒适了。","Actors.json,38,profile"
清彦,"Actors.json,39,name"
"应大妖狐的请求，清彦穿上皮衣。
大腿内侧的感觉几乎消失了，但……？","Actors.json,39,profile"
清彦,"Actors.json,40,name"
"应大妖狐的请求，清彦穿上皮衣。
被那个植物弄得一团糟，但……？","Actors.json,40,profile"
龙娘怀孕,"Actors.json,42,name"
用于事件,"Actors.json,42,profile"
基奥卡,"Actors.json,43,name"
"清彦作为龙娘的孩子重生。
虽然还保留人类的记忆，但……？","Actors.json,43,profile"
梅盐,"Actors.json,45,name"
梅盐先生加油。,"Actors.json,45,profile"
魅魔,"Actors.json,47,name"
"完全变成了魅魔的清彦。
她的眼中，究竟在寻找谁，想要做什么呢？","Actors.json,47,profile"
魅魔,"Actors.json,48,name"
"外貌和思考都完全变成了孩童魅魔的清彦。
她那小恶魔一般的性格，毫不留情地引诱着人类。","Actors.json,48,profile"
清彦,"Actors.json,50,name"
"为了拯救城市，身体变成魅魔。
丰满的身材吸引男性，有时也吸引同性。","Actors.json,50,profile"
清彦,"Actors.json,51,name"
"为了拯救城市，变成了孩童魅魔。
性别转换、魔物女化、年龄倒退，她的未来会怎样？","Actors.json,51,profile"
教会的人,"Actors.json,53,name"
"这个人绝不是无能或者脆弱的。
只是周围的人太过强大。","Actors.json,53,profile"
初始角色,"Actors.json,55,name"
从开局开始与清彦交换。,"Actors.json,55,profile"
