盾,"Armors.json,1,name"
帽子,"Armors.json,2,name"
"清彦喜爱的冒险铠甲。
穿起来灵活便捷，具有相当的防御力。","Armors.json,3,description"
冒险家的铠甲,"Armors.json,3,name"
戒指,"Armors.json,4,name"
穿在猫娘身上的服装。,"Armors.json,5,description"
比基尼,"Armors.json,5,name"
"充满褶边装饰的连衣裙。
与吸血鬼女王相似的设计突出了『女孩』的特点。","Armors.json,6,description"
连衣裙,"Armors.json,6,name"
"暴露度极高的精灵服装。
至于为什么设计成这样，清彦表示无法理解。","Armors.json,7,description"
精灵服装,"Armors.json,7,name"
"为了『亚可莉』而制作的可爱女仆装，由『清彦』制作。
『亚可莉』不喜欢穿。","Armors.json,8,description"
女仆装,"Armors.json,8,name"
"用链条和颈圈相连的奴隶项圈。
是否会有一天能够摘下它呢？","Armors.json,9,description"
奴隶项圈,"Armors.json,9,name"
"一种便于活动的服装。
与清彦的不同之处在于没有防御力，但材质轻便，便于活动","Armors.json,11,description"
冒险家的服装,"Armors.json,11,name"
绿色的男士服装,"Armors.json,12,description"
服,"Armors.json,12,name"
"可谓爱娜温的象征的美丽花朵。
从这里提取的蜜是顶级调味料。","Armors.json,14,description"
粉色的玫瑰,"Armors.json,14,name"
"覆盖双腿的神秘刺。
不知何故，虽然尖锐但触摸时却不会痛。","Armors.json,15,description"
刺,"Armors.json,15,name"
"遮盖爱娜温下半身的球茎。
用于从根部吸水，操纵触手的器官。","Armors.json,16,description"
球茎,"Armors.json,16,name"
"产生更多蜜
并散发着宜人的花香到周围的玫瑰花。","Armors.json,17,description"
成长起来的粉色玫瑰,"Armors.json,17,name"
"代替了耳朵的鳍。
在水中游泳时，用来保持平衡。","Armors.json,19,description"
鳍,"Armors.json,19,name"
"人鱼自如畅游水中的重要尾巴。
鳞片坚固，用于制作轻巧的护具，非常坚固。","Armors.json,20,description"
人鱼的尾巴,"Armors.json,20,name"
"清彦喜爱的冒险铠甲。
然而，现在它变得又重又碍事。","Armors.json,21,description"
宽松的铠甲,"Armors.json,21,name"
"为了隐藏重要的部位而改变的铠甲。
虽然变得轻便了，但......","Armors.json,22,description"
半坏的铠甲,"Armors.json,22,name"
"坚硬材质的鳞片。
触摸时感觉粗糙。","Armors.json,23,description"
鳞片,"Armors.json,23,name"
"在不知不觉中穿上的可爱连衣裙。
摆动着，凉爽宜人。","Armors.json,24,description"
连衣裙,"Armors.json,24,name"
"各处破破烂烂的奴隶穿的衣服。
好像遮住了，其实没有遮住。","Armors.json,26,description"
奴隶服,"Armors.json,26,name"
"不是用来束缚奴隶的项圈，而只是一种项圈。
用于宠物等用途的装饰物。","Armors.json,27,description"
项圈,"Armors.json,27,name"
"缠绕在左手背上的链条。
也许只是一种装饰品吧。","Armors.json,28,description"
锁,"Armors.json,28,name"
"蓬松的兽耳。
暖暖的,毫无疑问是真货。","Armors.json,29,description"
猫耳,"Armors.json,29,name"
"极其暴露的大妖狐喜欢的服装。
虽然有些地方挺暴露，但非常......方便？","Armors.json,31,description"
旗袍,"Armors.json,31,name"
"蓬松的狐耳。
由于耳朵内部非常敏感，触摸时务必小心。","Armors.json,32,description"
狐耳,"Armors.json,32,name"
"蓬松的狐狸尾巴。
如果是九根，触感会分散，但一根尾巴非常敏感。","Armors.json,33,description"
尾巴,"Armors.json,33,name"
"坚硬而锋利的角。
仅凭这个就足以割断一些小物体。","Armors.json,35,description"
角,"Armors.json,35,name"
"专门为容纳大尾巴而定制的连衣裙。
背部完全裸露，非常性感。","Armors.json,36,description"
龙女的连衣裙,"Armors.json,36,name"
"坚硬的龙女尾巴。虽然不如母亲的尾巴那样锋利，
专门为容纳大尾巴而定制的连衣裙。","Armors.json,37,description"
尾巴,"Armors.json,37,name"
"松软的感触，来自哈比的羽毛。
看起来非常暖和。","Armors.json,39,description"
羽毛,"Armors.json,39,name"
"哈比独特的双翅，专注于飞行。
能发出嗖嗖声，翱翔于天空。","Armors.json,40,description"
翅膀,"Armors.json,40,name"
"每次移动都会发出扑扑的声音，类似蝙蝠的翅膀。
没有飞行功能，只是一种装饰。","Armors.json,42,description"
魅魔的翅膀,"Armors.json,42,name"
"设计凸显身材，具有性感特点的服装。
男性看到会忍不住发出赞叹声。","Armors.json,43,description"
魅魔的衣服,"Armors.json,43,name"
虽然是孩子服装，但却设计的十分暧昧。,"Armors.json,44,description"
魅魔的衣服,"Armors.json,44,name"
"头上长着像山羊一样的角。
似乎没有特别的功能。","Armors.json,45,description"
魅魔的角,"Armors.json,45,name"
